"","X.x","egoID","alter.initial","egoalt_relation","egoalt_relate_othr","egoalter_tie","egoalter_commfreq","alter.gender","alt.gender_othr","alter.age","alter.acad.val","alter.career.val","alter.edu","alter.edu.othr","e0102","e0103","e0203","e0104","e0204","e0304","e0105","e0205","e0305","e0405","e0106","e0206","e0306","e0406","e0506","e0107","e0207","e0307","e0407","e0507","e0607","e0108","e0208","e0308","e0408","e0508","e0608","e0708","e0109","e0209","e0309","e0409","e0509","e0609","e0709","e0809","e0110","e0210","e0310","e0410","e0510","e0610","e0710","e0810","e0910","alterID","alter.genderbi","X.y","Q94_1","Q94_2","Q94_3","Q94_4","Q94_5","Q94_6","Q96_1","Q96_2","Q96_3","Q96_4","Q96_5","Q96_6","Q98_1","Q98_2","Q98_3","Q98_4","Q98_5","Q98_6","Q100_1","Q100_2","Q100_3","Q100_4","Q100_5","Q100_6","Q102_1","Q102_2","Q102_3","Q102_4","ego.careerval","ego.acadval","ego.gender","ego.race","Q3_9_TEXT","Q3_7_TEXT","ego.workhours","ego.studentorg","ego.belong","ego.age","ego.year","ext_reg","int_toknow","ext_iden","int_stim","amotiv","int_accomp","ext_intro","ego.genderbi","ego.racetri","mean.clo","mean.comm","mean.careerval","mean.acadval","mean.edu","alt.edudiverse","alt.type","alt.age","alt.agesd","alt.female","alt.male","alt.genratio","ego.ager","mean.eigen","dens","mean.deg","mean.bet","deg.centr","alter.aca.value.avg","alter.career.value.avg","density","gendersim","agediver","belong_cat","alter.same.gen","ego.gen.cen","alter.gen.cen"
"441",509,1910,"lcs",1,"",4,2,1,"",38,6,6,6,"",5,7,9,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191001,0,509,4,3,4,2,2,1,3,5,2,3,1,2,1,1,5,2,3,1,1,2,2,4,3,4,1,1,2,3,8,8,1,2,NA,NA,NA,2,2,6,1,4.5,2.5,3.5,1.25,1.5,1.5,2.25,0,2,6,2,6.75,6,5.25,3,3,56.25,17.0171482138851,0,4,0,20,0.955317458749631,1,3,0,0,6,6.75,1,-1,2,0,"Yes",-0.0555040556199305,-0.408554286820205
"442",510,1912,"mm",1,"",8,1,1,"",42,6,6,5,"",6,8,10,10,7,9,10,8,8,9,8,10,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191201,0,510,3,4,5,4,2,3,4,5,4,5,5,4,4,5,5,4,4,5,1,4,5,5,5,4,5,2,5,5,10,10,1,1,NA,NA,20,3,3,5,2,4.5,4.25,4.5,4.75,2.25,4,4.75,0,1,8.33333333333333,1.16666666666667,8.16666666666667,7.83333333333333,5.33333333333333,2,6,32.1666666666667,13.5265171669084,2,4,0.5,19,0.97014057843248,1,5,0,0,7.83333333333333,8.16666666666667,1,-0.333333333333333,2.58496250072116,0,"Yes",-0.0555040556199305,-0.408554286820205
"443",511,1916,"nns",1,"",10,1,1,"",44,10,10,8,"",10,10,10,8,10,9,9,10,10,9,10,10,10,7,4,8,0,0,0,0,0,9,5,7,10,4,0,3,10,8,7,4,7,0,1,5,10,0,1,5,3,0,10,10,0,191601,0,511,5,5,5,4,1,2,5,5,5,5,3,1,5,4,3,4,5,4,1,4,5,5,4,5,4,1,5,5,10,10,2,2,NA,NA,0,1,4,4,1,4.5,4.5,5,3.75,1,4,4.75,1,2,10,2.2,10,9.4,6.2,4,4,125.8,307.065610071999,7,3,2.33333333333333,18,0.709091634921799,0.777777777777778,7,2.4,0.222222222222222,9.4,10,0.777777777777778,-0.4,3.32192809488736,1,"No",0.14449594438007,-0.408554286820205
"444",512,1918,"jr",8,"academic",10,4,1,"",30,10,10,7,"",1,0,10,10,1,1,8,10,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191801,0,512,2,4,5,3,1,3,5,4,4,5,2,1,5,5,3,3,4,1,1,4,4,4,5,5,2,1,5,5,10,10,1,1,NA,NA,20,1,5,4,1,3.25,4,4.75,2,1,4.25,4.75,0,1,9.6,3,10,10,5.8,2,4,42.2,18.3630062898208,1,4,0.25,18,0.74655046900667,0.9,3.6,1.2,0.1,10,10,0.9,-0.6,2.32192809488736,1,"Yes",-0.0555040556199305,-0.408554286820205
"445",513,1919,"dp",1,"",10,1,1,"",51,10,10,8,"",10,10,10,10,10,10,6,7,0,10,8,9,0,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191901,0,513,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,5,5,5,1,5,5,10,10,1,1,NA,NA,5,3,5,5,2,4.25,4,4,4,3,4.25,4.25,0,1,9.5,1.66666666666667,9.5,10,5.5,4,5,34.8333333333333,15.5102116899373,2,4,0.5,19,0.848841493064261,0.866666666666667,4.33333333333333,0.333333333333333,0.133333333333333,10,9.5,0.866666666666667,-0.333333333333333,2.25162916738782,1,"Yes",-0.0555040556199305,-0.408554286820205
"446",514,1920,"e.o",1,"",10,1,1,"",50,10,7,6,"",10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192001,0,514,4,3,4,1,1,2,1,3,1,4,1,1,2,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,9,8,2,2,NA,NA,30,1,3,6,2,3,2,3,1,1,1.5,1,1,2,10,1.8,8.8,9.2,6.2,3,3,34.2,16.346253393362,3,2,1.5,20,1,1,4,0,0,9.2,8.8,1,-0.2,2.32192809488736,0,"No",0.14449594438007,-0.408554286820205
"447",515,1921,"kd",6,"",10,1,1,"",19,9,10,4,"",10,8,10,2,-10,4,2,2,2,-10,0,6,-10,1,-10,-10,2,0,-10,10,0,0,0,0,-10,10,0,10,0,7,0,-10,9,2,6,3,0,0,0,-10,0,0,0,0,0,192101,0,515,5,3,5,3,4,1,5,5,4,5,2,3,5,5,5,5,5,2,3,5,5,5,5,5,2,4,5,5,10,10,1,1,NA,NA,30,2,4,5,2,5,4.25,5,2.25,3.5,4,5,0,1,7.5,2.2,9.2,7.7,4.5,2,4,31.6,14.8338951204478,6,4,1.5,19,0.625571105601252,0.527777777777778,4.22222222222222,4.44444444444444,0.222222222222222,7.44444444444444,9.11111111111111,0.527777777777778,0.111111111111111,2.72548055699787,1,"Yes",-0.0555040556199305,-0.408554286820205
"448",516,1924,"mg",1,"",9,2,1,"",41,10,10,4,"",7,8,8,8,8,10,8,8,10,8,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,192401,0,516,3,4,5,3,1,3,5,5,4,5,3,1,4,4,5,5,5,3,1,4,4,4,5,5,3,1,5,5,10,10,1,2,NA,NA,0,3,4,4,1,4.25,4.5,5,3,1,4,4.5,0,2,9.8,1.9,10,10,3.8,4,3,40,20.7739152678438,4,6,0.666666666666667,18,0.963509215377242,1,9,0,0,10,10,1,-0.2,3.32192809488736,1,"Yes",-0.0555040556199305,-0.408554286820205
"449",517,1926,"emb",1,"",9,1,1,"",49,7,7,7,"",10,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192601,0,517,4,5,5,5,3,5,5,5,3,4,3,2,5,5,5,4,5,3,1,5,5,5,4,5,3,1,5,5,10,10,1,1,NA,NA,5,1,5,4,1,4.75,4,4.75,3.5,1.75,5,5,0,1,8.33333333333333,1,7,6,6.33333333333333,2,3,38.3333333333333,16.7729941672122,1,2,0.5,18,0.931755012477259,1,2,0,0,6,7,1,-0.333333333333333,1.58496250072116,1,"Yes",-0.0555040556199305,-0.408554286820205
"450",518,1928,"pb",1,"",9,1,1,"",49,10,8,5,"",5,0,0,0,0,0,0,0,0,0,2,-2,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192801,0,518,3,4,5,3,2,3,3,5,4,5,4,2,3,4,5,3,2,1,1,2,3,5,3,4,2,1,2,3,9,9,2,1,NA,NA,0,3,4,4,1,4.5,3.5,4,2.5,1.5,2.5,3.25,1,1,6.66666666666667,3,8.66666666666667,8.66666666666667,5.83333333333333,3,5,37.3333333333333,15.0155474980657,3,3,1,18,0.683669653945405,0.5,1.5,1,0.166666666666667,8.5,8.25,0.5,0,2,1,"No",0.14449594438007,-0.408554286820205
"451",519,1930,"mom",1,"",10,1,1,"",37,10,10,7,"",4,10,4,10,0,10,10,3,8,7,10,3,9,5,10,10,2,10,5,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193001,0,519,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,5,4,4,3,4,4,4,10,10,1,1,NA,NA,20,1,5,5,1,4.25,4,4,3.75,3,4,4,0,1,10,2.42857142857143,10,10,7,1,3,50.8571428571429,17.0629088124756,3,4,0.75,19,0.81827837888906,0.952380952380952,5.71428571428571,1.57142857142857,0.0476190476190476,10,10,0.952380952380952,-0.142857142857143,2.52164063634332,1,"Yes",-0.0555040556199305,-0.408554286820205
"452",520,1937,"lg",1,"",7,1,1,"",39,10,10,10,"dental assistant school ",7,6,6,6,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193701,0,520,1,3,5,4,3,3,5,5,3,4,2,4,4,4,5,3,4,2,2,3,4,5,3,4,3,3,2,5,9,8,1,1,NA,NA,26,1,4,4,1,4,3,4.25,2.75,3,3,4.5,0,1,9.25,1,8,8.75,5,3,5,22.75,11.0867789130417,1,3,0.333333333333333,18,0.963015569630973,1,3,0,0,8.75,8,1,-0.5,1.5,1,"Yes",-0.0555040556199305,-0.408554286820205
"453",522,1939,"amg",5,"",10,1,2,"",23,6,4,7,"",0,6,0,7,0,0,6,0,0,10,7,0,2,10,10,0,0,0,0,0,0,8,0,8,2,6,2,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,193901,1,522,4,4,4,4,1,4,5,2,4,5,3,1,3,1,5,5,5,3,1,2,1,4,5,5,3,1,3,3,6,7,1,1,NA,NA,27,1,3,8,3,3.75,4.5,4.75,3.25,1,3,2.5,0,1,9.7,2.7,5.9,5.3,6.8,4,5,35.8,15.8380694670924,4,6,0.666666666666667,22,0.664371368617423,0.535714285714286,3.75,2.375,0.464285714285714,4.625,5.375,0.535714285714286,-0.5,2.15563906222957,0,"No",-0.0555040556199305,0.591445713179795
"454",523,1941,"mh",1,"",10,1,2,"",50,4,3,7,"",9,7,8,8,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194101,1,523,5,3,4,1,3,2,2,4,1,5,1,1,1,3,3,2,5,1,1,2,3,4,2,3,1,1,1,2,5,3,1,1,NA,NA,10,1,2,5,1,4,2,4.25,1,1.5,1.5,2.5,0,1,8,1.5,5.5,6.25,7,1,3,51.75,5.67890834580027,2,2,1,19,0.983611033993455,1,3,0,0,6.25,5.5,1,0,1.5,0,"No",-0.0555040556199305,0.591445713179795
"455",525,1943,"lm",1,"",10,1,1,"",43,7,9,7,"",9,5,0,5,3,9,8,8,2,5,10,9,10,8,9,10,7,1,1,9,9,7,6,8,7,5,9,8,8,9,8,8,7,10,6,6,6,1,8,5,1,10,1,2,8,194301,0,525,1,2,3,4,1,1,4,4,4,4,4,1,3,4,4,4,4,4,1,4,4,4,4,4,3,1,2,4,10,6,1,1,NA,NA,12,3,3,8,4,3.25,3.5,3.75,3.75,1,2.5,4,0,1,8,1.6,8.8,7.8,6.2,5,5,32.4444444444444,15.7568327330647,2,8,0.25,22,0.742123132925911,0.977777777777778,8.8,2.85,0.0222222222222222,7.8,8.8,0.977777777777778,-0.6,2.72548055699787,0,"Yes",-0.0555040556199305,-0.408554286820205
"456",526,1952,"ah",1,"",10,1,1,"",46,10,10,7,"",10,0,0,6,6,6,6,6,6,9,8,6,0,0,0,10,8,0,0,0,10,7,8,0,0,0,6,8,4,6,0,0,0,6,5,5,8,7,0,0,0,8,6,8,0,195201,0,526,2,3,4,3,1,4,5,4,4,4,1,3,4,4,4,4,4,3,1,4,4,4,5,4,3,1,4,4,8,7,2,1,NA,NA,25,3,5,7,2,3.5,4,4,2.5,1.5,4,4.25,1,1,9.8,3,9.8,9.8,6.6,5,5,144.4,301.091053042468,7,3,2.33333333333333,21,0.664674316044808,0.6,5.4,2.45,0.288888888888889,9.8,9.8,0.6,-0.4,3.12192809488736,1,"No",0.14449594438007,-0.408554286820205
"457",527,1954,"rd",1,"",10,1,1,"",37,10,10,4,"",10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195401,0,527,5,5,5,5,1,5,5,5,5,5,5,2,5,5,5,5,5,5,2,5,5,5,5,5,5,2,5,5,10,10,1,2,NA,NA,28,3,5,4,1,5,5,5,5,1.75,5,5,0,2,10,1.2,10,10,4.8,2,4,46.6,19.5908141739949,2,3,0.666666666666667,18,1,1,4,0,0,10,10,1,-0.2,2.32192809488736,1,"Yes",-0.0555040556199305,-0.408554286820205
"458",528,1956,"rd",1,"",10,1,1,"",37,10,10,5,"",10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195601,0,528,5,5,5,5,2,5,5,5,5,5,5,2,5,5,5,5,5,5,2,5,5,5,5,5,5,2,5,5,10,10,1,2,NA,NA,28,3,5,4,1,5,5,5,5,2,5,5,0,2,10,1.4,10,10,5.4,4,3,50.2,14.3770650690605,2,3,0.666666666666667,18,1,1,4,0,0,10,10,1,-0.2,2.32192809488736,1,"Yes",-0.0555040556199305,-0.408554286820205
"459",529,1958,"an",1,"",10,1,1,"",NA,10,10,5,"",5,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195801,0,529,3,3,5,2,1,1,5,5,2,5,1,1,1,5,5,2,5,1,1,5,5,5,5,5,1,1,3,5,10,10,1,2,NA,NA,26,3,3,6,2,4.5,3,5,1.25,1,2.5,5,0,2,10,1,10,10,4.66666666666667,2,2,NA,NA,1,2,0.5,20,0.895380220544836,1,2,0,0,10,10,1,-0.333333333333333,0,0,"Yes",-0.0555040556199305,-0.408554286820205
"460",530,1961,"jr",1,"",10,1,1,"",50,10,10,8,"",10,10,10,10,6,10,0,5,0,0,0,0,0,0,0,3,6,0,0,4,0,1,3,1,0,2,0,8,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,196101,0,530,2,4,5,2,1,1,5,5,3,5,2,1,3,3,3,4,5,2,1,4,4,3,5,2,2,1,4,4,10,10,1,1,NA,NA,25,1,4,5,1,3.25,4,4.25,2,1,3,4,0,1,8.3,2.8,8.3,6,7.4,5,4,35.8,13.5957509702276,3,7,0.428571428571429,19,0.539931438691603,0.472222222222222,3.77777777777778,3.88888888888889,0.402777777777778,6.22222222222222,8.55555555555556,0.472222222222222,-0.333333333333333,2.64160416786859,1,"Yes",-0.0555040556199305,-0.408554286820205
"461",531,1963,"kn",6,"",10,2,2,"",28,10,10,7,"",10,8,10,9,9,10,6,9,10,5,6,7,5,6,10,10,10,8,9,10,10,7,9,7,10,7,7,8,1,5,1,2,1,1,4,10,10,10,10,10,10,10,10,9,6,196301,1,531,5,2,5,1,1,3,5,5,2,5,2,1,5,5,5,3,5,1,1,5,5,5,5,5,1,1,5,5,10,10,1,1,NA,NA,0,3,5,4,1,5,3,5,1.25,1,4.5,5,0,1,9.6,1.6,9.4,9.1,6.1,2,4,53.9,89.894320670935,5,5,1,18,0.834838724347541,1,9,2.91,0,9.1,9.4,1,0,2.64643934467102,1,"No",-0.0555040556199305,0.591445713179795
"462",532,1965,"lm",5,"",10,1,1,"",18,9,9,5,"",8,5,9,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196501,0,532,5,3,2,2,1,2,4,4,2,4,1,1,2,3,4,3,3,1,1,3,5,5,4,2,1,2,3,3,5,5,3,1,NA,NA,18,3,5,5,1,4.5,3,2.75,1.25,1.25,2.5,3.75,NA,1,7,1.75,7.75,8.75,7,3,3,36,12.1928941054479,1,3,0.333333333333333,19,0.944179284400375,1,3,0,0,8.75,7.75,1,1,2,1,"No",0.34449594438007,-0.408554286820205
"463",533,1967,"tg",1,"",10,1,1,"",45,8,10,6,"",10,9,9,10,10,9,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196701,0,533,3,3,5,4,1,4,5,5,4,5,2,1,5,5,5,5,5,1,1,5,5,5,5,5,2,1,5,5,10,10,2,2,NA,NA,20,3,5,4,1,4.5,4.25,5,2.25,1,4.75,5,1,2,10,1.6,9.8,9.2,5.4,3,3,41.8,17.2829395647847,2,3,0.666666666666667,18,0.976397101554016,1,4,0,0,9.2,9.8,1,0.2,2.32192809488736,1,"No",0.14449594438007,-0.408554286820205
"464",534,1969,"lb",3,"",8,2,1,"",25,6,8,8,"",8,8,8,0,0,0,0,0,0,8,0,0,0,8,9,8,7,8,0,0,0,8,8,8,1,0,7,5,0,0,9,7,7,9,0,8,0,0,0,1,0,0,0,10,8,196901,0,534,4,3,5,4,2,3,4,4,2,5,1,2,2,3,4,3,5,1,1,2,2,3,3,5,2,4,3,3,8,6,1,1,NA,NA,0,1,5,6,3,3.75,2.75,5,2,2.25,2.5,3,0,1,8.2,1.6,7.8,5.5,6.1,4,5,28.3,11.2846995726268,4,6,0.666666666666667,20,0.650226070862383,0.511111111111111,4.6,3.35,0.377777777777778,5.5,7.8,0.511111111111111,-0.2,2.72192809488736,1,"Yes",-0.0555040556199305,-0.408554286820205
"465",535,1970,"ba",3,"",9,3,2,"",30,7,9,7,"",0,6,0,5,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197001,1,535,4,5,3,2,2,4,5,4,5,3,3,2,4,4,5,4,3,2,2,3,5,5,4,2,2,1,4,5,10,8,2,1,NA,NA,20,1,5,5,2,4.5,4.5,2.75,2.25,1.75,3.75,4.75,1,1,7.25,2.5,9.75,8.5,6.75,3,3,25,4.35889894354067,3,1,3,19,0.922146734704861,1,2,0,0,8,9.66666666666667,1,-1,1.58496250072116,1,"Yes",0.14449594438007,0.591445713179795
"466",536,1971,"t",6,"",10,1,1,"",20,4,8,5,"",10,8,8,4,4,-4,6,6,10,8,10,10,8,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197101,0,536,4,3,5,2,1,2,3,4,3,5,2,1,3,3,4,3,4,2,1,3,3,4,3,4,2,1,3,3,8,6,1,1,NA,NA,20,3,3,7,3,4,3,4.5,2,1,2.75,3,0,1,9.66666666666667,1.5,7.33333333333333,4.33333333333333,5.5,3,4,35,19.7989898732233,2,4,0.5,21,0.869566281161085,0.933333333333333,4.66666666666667,0.5,0.0666666666666667,4.33333333333333,7.33333333333333,0.933333333333333,-0.333333333333333,2.58496250072116,0,"Yes",-0.0555040556199305,-0.408554286820205
"467",537,1975,"ap",1,"",10,1,1,"",36,10,10,7,"",10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,4,10,3,2,0,0,0,6,10,5,2,0,0,0,0,10,10,10,10,0,0,0,-2,-1,197501,0,537,1,5,2,4,2,1,1,3,2,NA,3,4,1,3,4,2,3,3,5,4,5,1,1,2,5,5,3,2,10,10,2,1,NA,NA,0,2,4,4,1,2.25,2.5,NA,3.75,4,2.25,2.75,1,1,9.5,1.9,9.2,9,4.9,2,4,43.5,25.3475837112732,7,3,2.33333333333333,18,0.542237800283146,0.444444444444444,4,0.7,0.222222222222222,9,9.2,0.444444444444444,-0.4,2.64643934467102,1,"No",0.14449594438007,-0.408554286820205
"468",538,1976,"kg",1,"",10,1,1,"",48,9,9,7,"",9,0,0,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197601,0,538,5,4,5,5,1,5,5,5,3,5,3,2,5,5,4,5,5,3,2,5,5,5,5,5,4,2,5,5,10,10,1,1,NA,NA,15,1,5,4,1,4.75,4.25,5,3.75,1.75,5,5,0,1,10,3.75,9.75,9.75,7.25,4,3,47.5,1.73205080756888,2,2,1,18,0.978027402655194,1,2,0,0,9.66666666666667,9.66666666666667,1,-0.333333333333333,0.918295834054489,1,"Yes",-0.0555040556199305,-0.408554286820205
"469",539,1978,"da",1,"",10,1,1,"",54,8,2,4,"",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197801,0,539,4,3,5,3,1,1,4,5,2,5,2,1,2,2,5,2,3,1,1,1,3,5,3,4,1,1,3,3,10,7,1,1,NA,NA,0,3,5,4,1,4.75,2.5,4.25,1.75,1,1.75,3,0,1,10,1,5.5,6.5,4.5,2,2,54.5,0.707106781186548,1,1,1,18,1,1,1,0,0,6.5,5.5,1,0,1,1,"Yes",-0.0555040556199305,-0.408554286820205
"470",540,1979,"cf",1,"",10,1,1,"",50,10,10,5,"",NA,10,10,10,10,10,10,10,10,10,8,-5,-5,10,10,10,10,10,10,10,10,10,10,10,10,2,10,10,10,4,4,0,0,0,0,10,10,10,10,10,10,10,10,10,10,197901,0,540,5,5,5,5,1,5,5,5,1,5,5,1,5,5,5,5,5,1,1,5,5,5,5,5,5,1,5,5,10,10,1,1,NA,NA,25,3,3,4,1,5,4,5,4,1,5,5,0,1,10,2.8,10,10,6,3,5,51.8,17.1775046693828,5,5,1,18,0.840345244761007,0.844444444444444,7.6,0.8,0.155555555555556,10,10,0.844444444444444,0,3.32192809488736,0,"Yes",-0.0555040556199305,-0.408554286820205
"471",541,1980,"stb",1,"",0,2,1,"",50,10,10,7,"",10,8,8,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198001,0,541,3,1,5,1,2,2,2,3,2,3,1,1,2,2,3,4,4,1,1,1,2,3,4,5,1,1,2,2,10,6,1,1,NA,NA,20,1,4,5,2,3,2.75,4.25,1,1.25,1.75,2,0,1,4.5,2.75,8.5,8,7.25,2,4,49,20.558858593479,2,2,1,19,0.94590683402168,1,3,0,0,8,8.5,1,0,2,1,"Yes",-0.0555040556199305,-0.408554286820205
"472",542,1983,"sb",1,"",10,1,1,"",50,10,10,6,"",10,10,10,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198301,0,542,5,5,5,5,1,5,5,5,5,5,5,1,5,3,3,5,5,5,1,5,3,3,5,5,5,1,5,5,10,10,2,2,NA,NA,15,3,5,7,2,4,5,5,5,1,5,4,1,2,9,4,10,10,6.33333333333333,3,4,45.6666666666667,6.97614984548545,3,2,1.5,21,0.5,0.4,2,0,0,10,10,0.4,-0.2,1.25162916738782,1,"No",0.14449594438007,-0.408554286820205
"473",543,1984,"dg",1,"",6,3,1,"",45,10,10,4,"",-6,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198401,0,543,1,4,5,1,1,3,5,5,5,5,3,1,5,5,3,3,5,3,1,5,5,5,5,5,3,1,3,5,10,9,1,2,NA,NA,0,3,5,6,3,3.5,4.25,5,2.5,1,4,5,0,2,7.33333333333333,2.33333333333333,10,9.33333333333333,3.66666666666667,2,3,39.3333333333333,19.1398362932741,1,2,0.5,20,0.792665748002756,0.666666666666667,1.33333333333333,0.333333333333333,0.333333333333333,9.33333333333333,10,0.666666666666667,-0.333333333333333,1.58496250072116,1,"Yes",-0.0555040556199305,-0.408554286820205
"474",544,1985,"mr",1,"",10,2,2,"",59,10,10,7,"",10,10,10,10,10,10,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198501,1,544,2,5,5,1,1,5,5,3,5,4,1,1,5,5,5,5,5,1,1,5,5,5,5,5,1,1,5,5,10,10,2,1,NA,NA,0,2,3,6,2,3.75,5,4.75,1,1,5,5,1,1,10,1.8,10,8.8,8.2,2,4,36.2,19.5627196473292,3,2,1.5,20,0.806165057737299,0.7,2.8,0.6,0.3,8.8,10,0.7,-0.2,2.32192809488736,0,"Yes",0.14449594438007,0.591445713179795
